,Week,Date,ReleaseStart,ReleaseEnd,Flowrate (kg/h),Comments,ReleaseID,ReleaseStartDateTime,ReleaseEndDateTime,Windspeed20m_Avg,Windspeed20m_Std,WindDir20m_Avg,WindDir20m_Std,WindDir20m_CV,WindShear_AvgStd,WeeklyReleaseID
80,3,2024-09-09,16:42:00,17:36:30,13.38,doublon 2,81,2024-09-09 16:42:00,2024-09-09 17:36:30,4.017156862745098,1.158546844552119,270.231,30.49719997285666,0.0847144443690462,0.6988685893193153,6
81,3,2024-09-10,08:45:00,09:31:00,0.92,,82,2024-09-10 08:45:00,2024-09-10 09:31:00,0.9421666666666668,0.2869655067510671,171.35273684210526,27.43851166342531,0.0762180879539592,0.152450938952866,7
82,3,2024-09-10,09:45:15,10:31:00,2.02,,83,2024-09-10 09:45:15,2024-09-10 10:31:00,0.9199272727272728,0.3736050927174579,230.20847272727272,56.673763515336894,0.1574271208759358,0.206850203872568,8
83,3,2024-09-10,10:40:00,11:26:00,79.19999999999997,,84,2024-09-10 10:40:00,2024-09-10 11:26:00,1.5387089552238806,0.5648104189840032,270.7512164179104,33.95970658084065,0.0943325182801129,0.3149454222196926,9
84,3,2024-09-10,11:45:00,12:31:00,17.8,alternative satellite,85,2024-09-10 11:45:00,2024-09-10 12:31:00,2.7916965517241383,0.8571267273420762,298.62366896551725,24.60842282700867,0.068356730075024,0.3953104474607657,10
85,3,2024-09-10,12:44:00,13:36:30,6.77,,86,2024-09-10 12:44:00,2024-09-10 13:36:30,2.6925246913580247,1.0440375055768571,257.6336913580247,32.585024089464184,0.0905139558040671,0.4387306865753256,11
86,3,2024-09-10,13:44:15,14:30:00,1.85,,87,2024-09-10 13:44:15,2024-09-10 14:30:00,3.178636363636364,0.8974163741137827,289.6772027972028,18.352046323875367,0.0509779064552093,0.4674948443640292,12
87,3,2024-09-10,14:44:00,15:30:00,28.16,,88,2024-09-10 14:44:00,2024-09-10 15:30:00,4.597331034482759,1.362056100243572,306.64595172413794,19.06789455336061,0.052966373759335,0.7334589565383101,13
88,3,2024-09-10,15:44:00,16:30:00,4.47,,89,2024-09-10 15:44:00,2024-09-10 16:30:00,4.797862068965518,1.2361782538482693,300.1787931034483,17.29821498441926,0.0480505971789423,0.7199480469886943,14
89,3,2024-09-10,16:46:00,17:36:00,0.45,,90,2024-09-10 16:46:00,2024-09-10 17:36:00,4.765207547169811,1.1433138215845309,305.4722327044025,20.95714322036033,0.0582142867232231,0.7388527723773983,15
